Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1988","1988","1000 ha","2463","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1989","1989","1000 ha","2378","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1990","1990","1000 ha","2198.6","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1991","1991","1000 ha","2203.618","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1992","1992","1000 ha","2160","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1993","1993","1000 ha","2113","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1994","1994","1000 ha","2095","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1995","1995","1000 ha","2048","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1996","1996","1000 ha","1995","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1997","1997","1000 ha","1953","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1998","1998","1000 ha","1915","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","1999","1999","1000 ha","1888","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2000","2000","1000 ha","1840","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2001","2001","1000 ha","1833","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2002","2002","1000 ha","1826","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2003","2003","1000 ha","1829","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2004","2004","1000 ha","1822","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2005","2005","1000 ha","1805","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2006","2006","1000 ha","1815","I","Valor imputado",""
"RL","Uso de la tierra","188","Costa Rica","5110","Superficie","6602","Agricultura","2007","2007","1000 ha","1800","I","Valor imputado",""
