Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código Meses,Meses,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1994","1994","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1995","1995","°C","1.039","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1996","1996","°C","0.22","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1997","1997","°C","0.918","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1998","1998","°C","1.862","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","1999","1999","°C","0.064","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2000","2000","°C","0.142","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2001","2001","°C","0.499","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2002","2002","°C","1.4","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2003","2003","°C","1.701","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2004","2004","°C","1.303","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2005","2005","°C","0.654","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2006","2006","°C","0.655","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2007","2007","°C","1.556","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2008","2008","°C","0.557","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2009","2009","°C","0.859","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2010","2010","°C","2.26","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2011","2011","°C","1.26","E","Valor estimado"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2012","2012","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2013","2013","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2014","2014","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2015","2015","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2016","2016","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2017","2017","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2018","2018","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2019","2019","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2020","2020","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2021","2021","°C","","O","Valor ausente"
"ET","Variación de temperatura de la superficie terrestre","188","Costa Rica","7271","Variación de temperatura","7002","Febrero","2022","2022","°C","","O","Valor ausente"
